Month,Day,Normal Max,Normal Min,Record Max,Record Max Year,Low Max,Low Max Year,Record Min,Record Min Year,High Min,High Min Year
1,1,62,41,80,1934,36,2001,25,1979,69,1956
1,2,62,41,82,1965,35,1979,17,1979,69,2000
1,3,62,41,83,1989,37,1974,18,1979,68,2004
1,4,62,41,78,1957,36,1959,22,1959,66,2005
1,5,62,41,80,1989,40,1972,22,1972,64,1997
1,6,62,41,80,1989,38,1971,22,1972,64,1965
1,7,62,41,79,1989,36,1971,19,1970,62,1965
1,8,62,41,80,1957,36,1968,19,1996,64,1965
1,9,62,41,82,1957,34,1973,19,1976,66,1965
1,10,62,41,82,1957,34,1973,19,1976,66,1965
1,11,62,41,81,1995,30,1962,12,1982,69,1995
1,12,62,41,81,2000,37,1985,17,1962,67,2005
1,13,62,41,81,1935,32,1996,20,1973,68,1965
1,14,62,41,82,1971,42,1964,19,1982,63,1965
1,15,62,41,79,1996,42,1984,23,1979,61,1968
1,16,62,41,82,1936,40,1964,22,1972,61,1967
1,17,62,41,80,1974,36,1978,22,1977,64,1967
1,18,62,41,81,2000,36,1978,20,1940,68,1968
1,19,62,41,81,2000,33,1978,12,1940,66,1970
1,20,62,41,80,1999,29,1978,20,1985,66,1963
1,21,62,41,79,1999,31,1978,16,1985,70,1999
1,22,62,41,82,1967,36,1978,18,1935,66,1967
1,23,62,41,83,1972,42,1966,5,1940,70,2002
1,24,63,41,82,1971,34,1963,17,1963,68,1950
1,25,63,41,82,1950,43,1966,24,1963,70,1950
1,26,63,42,84,1975,45,1961,24,1940,68,1994
1,27,63,42,83,1975,40,1961,18,1940,65,1970
1,28,63,42,82,1975,38,1961,26,1948,68,1970
1,29,63,42,82,1975,38,1967,23,1973,69,1970
1,30,63,42,82,1975,28,1951,12,1949,67,2002
1,31,64,42,83,1957,29,1951,10,1949,65,1967
2,1,64,42,82,1989,25,1951,15,1951,67,1963
2,2,64,42,82,1974,30,1951,14,1951,70,1989
2,3,64,42,81,1957,37,1956,19,1951,60,1962
2,4,64,42,81,1957,28,1989,22,1996,68,1957
2,5,64,42,84,1957,30,1989,27,1989,65,1957
2,6,65,42,81,1969,30,1989,24,1989,69,1999
2,7,65,42,82,1950,32,1989,25,1989,63,1999
2,8,65,43,83,1962,46,1978,15,1933,70,1994
2,9,65,43,87,1962,38,1978,17,1933,69,1999
2,10,65,43,85,1957,37,1994,22,1973,64,1999
2,11,66,43,82,1999,40,1981,20,1981,65,1984
2,12,66,44,82,1962,37,1958,24,1988,63,1952
2,13,66,44,84,1962,47,1960,26,1963,68,1989
2,14,66,44,81,1956,38,1951,27,1963,70,1989
2,15,67,44,84,1962,35,1951,29,1981,68,2001
2,16,67,44,81,1982,51,1958,28,1951,69,1956
2,17,67,45,85,1986,37,1979,27,1980,68,1976
2,18,67,45,87,1986,43,1979,21,1936,68,1961
2,19,67,46,88,1986,46,1958,22,1978,67,1956
2,20,68,46,91,1986,45,1955,30,1978,66,2005
2,21,68,46,89,1996,42,1955,24,1978,68,2005
2,22,68,46,90,1996,40,1968,21,1978,67,1926
2,23,68,46,88,1996,46,1953,27,1976,67,1996
2,24,69,46,84,1980,42,1960,26,1965,65,1956
2,25,69,46,84,1977,42,1960,26,1974,68,2000
2,26,69,47,86,1986,42,1982,26,1974,71,1996
2,27,69,47,87,1954,55,1966,22,2002,65,1951
2,28,70,47,89,1940,43,1963,28,2002,65,1951
1,0,70,47,89,1940,43,1963,28,2002,65,1951
3,1,70,48,84,1975,37,1962,28,1980,70,1997
3,2,70,48,84,1975,48,1960,22,1980,66,1976
3,3,70,48,84,1967,45,2002,22,1943,69,1976
3,4,71,48,81,1981,48,1954,22,2002,68,1976
3,5,71,49,86,1967,38,1989,25,1989,70,1961
3,6,71,49,86,1991,46,1960,25,1989,69,1961
3,7,71,49,88,1975,49,1960,28,1989,66,1961
3,8,72,49,87,1951,47,1978,27,1971,70,1974
3,9,72,50,88,2000,53,1996,27,1932,71,1974
3,10,72,50,89,1980,52,1969,28,1996,70,1974
3,11,72,50,86,1974,48,1969,28,1948,69,1974
3,12,73,50,88,1980,50,1993,26,1948,68,1982
3,13,73,52,89,1942,50,1993,25,1932,68,1982
3,14,73,52,86,1936,52,1976,29,1993,69,1955
3,15,73,52,88,1967,54,1962,32,1999,70,1955
3,16,73,52,84,1942,49,1969,34,1962,72,1982
3,17,74,52,85,1972,51,1960,32,1976,70,1982
3,18,74,52,85,1977,50,1958,34,1960,70,1982
3,19,74,52,85,1974,51,1965,25,1934,70,1982
3,20,74,52,83,2004,51,1965,29,1965,71,1955
3,21,74,52,84,1953,50,1970,30,1996,69,1995
3,22,75,52,88,1995,52,1989,32,1970,69,1975
3,23,75,52,87,1995,59,1952,34,1968,70,1995
3,24,75,53,85,1936,47,1974,36,1952,70,1995
3,25,75,53,87,1955,48,1974,38,1955,68,1988
3,26,75,53,88,1939,42,1955,31,1955,72,1995
3,27,76,54,88,1935,48,1955,31,1955,72,1975
3,28,76,54,89,1972,58,1957,33,1931,72,1989
3,29,76,54,90,1974,56,1995,35,1931,71,2002
3,30,76,54,96,1946,57,1988,33,1987,67,1979
3,31,76,54,87,1974,58,1975,30,1987,69,1967
4,1,76,55,89,1939,69,1954,35,1937,69,1956
4,2,77,55,88,1939,67,1970,38,1996,72,1982
4,3,77,55,87,1980,63,1987,31,1987,72,2001
4,4,77,55,87,1940,65,1973,34,1987,72,2001
4,5,77,56,91,1982,60,1987,38,1973,71,2001
4,6,77,56,86,1999,64,1994,37,1970,71,1986
4,7,77,56,88,1972,55,1973,32,1971,72,1999
4,8,78,56,92,1986,54,1983,34,1939,73,1999
