Date,High,Low,Precip
1/1/2005,75,62,T
1/2/2005,73,66,0
1/3/2005,79,66,0
1/4/2005,73,66,0.04
1/5/2005,77,46,0.01
1/6/2005,47,39,0.02
1/7/2005,52,42,0.03
1/8/2005,66,43,0
1/9/2005,76,45,0
1/10/2005,76,65,T
1/11/2005,79,60,0
1/12/2005,75,67,T
1/13/2005,73,45,1.51
1/14/2005,61,37,0
1/15/2005,59,36,0
1/16/2005,57,36,0
1/17/2005,53,33,0
1/18/2005,52,35,0
1/19/2005,68,41,0
1/20/2005,74,51,0
1/21/2005,75,53,0
1/22/2005,73,43,0
1/23/2005,49,32,0
1/24/2005,61,32,0
1/25/2005,74,44,0
1/26/2005,78,56,0
1/27/2005,60,46,0.12
1/28/2005,53,43,0.45
1/29/2005,52,46,0
1/30/2005,53,46,0.01
1/31/2005,49,45,1.22
2/1/2005,47,43,0.79
2/2/2005,48,43,T
2/3/2005,54,41,0
2/4/2005,58,39,0
2/5/2005,59,43,0
2/6/2005,70,51,0.02
2/7/2005,67,57,1.03
2/8/2005,67,57,1.22
2/9/2005,63,45,0.09
2/10/2005,61,40,0
2/11/2005,61,44,0
2/12/2005,67,47,0.05
2/13/2005,73,60,0.68
2/14/2005,80,53,0
2/15/2005,80,58,0
2/16/2005,78,63,0
2/17/2005,64,54,0
2/18/2005,63,51,T
2/19/2005,67,51,0
2/20/2005,78,66,0.1
2/21/2005,80,68,0
2/22/2005,77,62,0
2/23/2005,81,63,0.51
2/24/2005,67,50,1.08
2/25/2005,64,45,0
2/26/2005,53,49,0.35
2/27/2005,62,48,0.13
2/28/2005,66,46,0.05
3/1/2005,70,46,0
3/2/2005,56,44,0.51
3/3/2005,61,46,0
3/4/2005,69,48,0
3/5/2005,67,55,T
3/6/2005,67,58,0.03
3/7/2005,71,61,0.75
3/8/2005,70,49,0
3/9/2005,72,48,T
3/10/2005,74,43,0
3/11/2005,75,52,0
3/12/2005,80,45,0
3/13/2005,86,57,0
3/14/2005,70,47,0
3/15/2005,57,50,T
3/16/2005,53,40,0.24
3/17/2005,62,40,0
3/18/2005,73,41,0
3/19/2005,80,59,0.91
3/20/2005,75,54,0.14
3/21/2005,80,56,0.04
3/22/2005,77,60,1.15
3/23/2005,77,49,0
3/24/2005,76,52,0
3/25/2005,83,62,0
3/26/2005,78,59,T
3/27/2005,59,44,0.28
3/28/2005,75,42,0
3/29/2005,75,53,T
3/30/2005,83,66,T
3/31/2005,81,66,T
4/1/2005,71,52,0
4/2/2005,75,47,0
4/3/2005,76,47,0
4/4/2005,74,55,0
4/5/2005,74,66,0.01
4/6/2005,79,60,0.01
4/7/2005,79,56,0
4/8/2005,81,54,0
4/9/2005,78,55,0
4/10/2005,77,67,T
4/11/2005,83,58,0.89
4/12/2005,81,52,0
4/13/2005,82,55,0
4/14/2005,77,56,0
4/15/2005,76,55,0
4/16/2005,80,54,0
4/17/2005,78,54,0
4/18/2005,77,64,0.07
4/19/2005,78,59,0
4/20/2005,81,61,0
4/21/2005,82,65,0
4/22/2005,85,68,0.05
4/23/2005,75,55,0
4/24/2005,74,48,0
4/25/2005,70,58,0.19
4/26/2005,79,55,T
4/27/2005,85,50,0
4/28/2005,86,66,0
4/29/2005,86,70,0.06
4/30/2005,70,51,T
5/1/2005,76,47,0
5/2/2005,78,51,0
5/3/2005,76,57,0
5/4/2005,77,59,0.03
5/5/2005,82,53,0
5/6/2005,83,57,0
5/7/2005,82,56,0
5/8/2005,76,62,2.34
5/9/2005,88,60,T
5/10/2005,88,68,0
5/11/2005,85,66,0
5/12/2005,83,69,0
5/13/2005,84,65,0
5/14/2005,85,67,0
5/15/2005,86,66,0
5/16/2005,80,64,0
5/17/2005,85,63,0
5/18/2005,85,65,0
5/19/2005,89,65,0
5/20/2005,91,72,0
5/21/2005,96,73,0
5/22/2005,96,74,0
5/23/2005,92,74,0
5/24/2005,92,69,0
5/25/2005,94,69,0
5/26/2005,91,70,T
5/27/2005,90,69,0
5/28/2005,91,71,0.02
5/29/2005,89,68,3.56
5/30/2005,84,68,0.11
5/31/2005,88,70,T
6/1/2005,87,68,0.05
6/2/2005,93,68,0
6/3/2005,90,73,0
6/4/2005,91,76,0
6/5/2005,92,75,0
6/6/2005,92,75,T
6/7/2005,92,77,0
6/8/2005,92,78,0
6/9/2005,92,75,0
6/10/2005,91,73,0
6/11/2005,93,74,0
6/12/2005,93,72,0
6/13/2005,92,73,0
6/14/2005,96,75,T
6/15/2005,95,72,0
6/16/2005,97,75,0
6/17/2005,96,74,0
6/18/2005,96,74,0.03
6/19/2005,94,73,0
6/20/2005,94,71,0
6/21/2005,94,70,0
6/22/2005,95,69,0
6/23/2005,94,73,0
6/24/2005,94,72,T
6/25/2005,94,71,0
6/26/2005,94,73,0
6/27/2005,92,73,T
6/28/2005,96,72,0
6/29/2005,97,73,0
6/30/2005,98,74,0
7/1/2005,101,79,0
7/2/2005,100,80,0
7/3/2005,97,76,0
7/4/2005,98,80,0
7/5/2005,99,76,0
7/6/2005,101,79,0.01
7/7/2005,97,72,1.3
7/8/2005,90,73,0
7/9/2005,92,75,0.02
7/10/2005,97,74,T
7/11/2005,95,75,1.57
7/12/2005,94,74,T
7/13/2005,94,77,0.06
7/14/2005,93,75,0.18
7/15/2005,82,73,1.02
7/16/2005,86,74,T
7/17/2005,87,75,0.08
7/18/2005,90,75,T
7/19/2005,92,75,0
7/20/2005,91,75,0.8
7/21/2005,90,76,0.11
7/22/2005,94,73,0.15
7/23/2005,91,74,0
7/24/2005,93,75,0
7/25/2005,94,75,0
7/26/2005,94,75,0
7/27/2005,94,73,0
7/28/2005,95,77,0
7/29/2005,95,75,0
7/30/2005,93,74,0
7/31/2005,95,72,0
8/1/2005,95,75,0.02
8/2/2005,95,75,0
8/3/2005,93,76,0
8/4/2005,93,74,0
8/5/2005,93,75,0
8/6/2005,96,74,T
8/7/2005,96,76,0
8/8/2005,93,74,0.38
8/9/2005,89,72,0.13
8/10/2005,94,72,0
8/11/2005,95,75,0
8/12/2005,94,75,0
8/13/2005,95,75,0
8/14/2005,91,76,0.01
8/15/2005,93,75,T
8/16/2005,91,74,0.02
8/17/2005,92,74,T
8/18/2005,95,76,T
8/19/2005,94,75,0.09
8/20/2005,96,77,0
8/21/2005,96,74,T
8/22/2005,97,77,0.2
8/23/2005,95,77,0
8/24/2005,95,76,0
8/25/2005,88,77,0.05
8/26/2005,94,76,0
8/27/2005,98,78,0.08
8/28/2005,93,75,0.17
8/29/2005,95,76,0.37
8/30/2005,94,74,0
8/31/2005,97,76,0
9/1/2005,93,76,0
9/2/2005,91,74,0
9/3/2005,87,75,0.5
9/4/2005,93,73,0
9/5/2005,93,68,0
9/6/2005,92,73,0
9/7/2005,91,67,0
9/8/2005,93,69,0
9/9/2005,91,74,0
9/10/2005,84,72,1.17
9/11/2005,90,72,0
9/12/2005,87,74,T
9/13/2005,92,74,0.03
9/14/2005,93,75,0
9/15/2005,94,78,0
9/16/2005,92,78,0.02
9/17/2005,95,76,0
9/18/2005,94,76,0
9/19/2005,94,73,0
9/20/2005,95,72,0
9/21/2005,100,76,0
9/22/2005,100,75,0
9/23/2005,95,75,0.17
9/24/2005,91,73,0.7
9/25/2005,99,72,0
9/26/2005,98,79,0
9/27/2005,99,79,0
9/28/2005,97,78,0
9/29/2005,90,79,0.04
9/30/2005,84,67,0
10/1/2005,90,72,0
10/2/2005,91,74,T
10/3/2005,91,75,0
10/4/2005,90,74,0
10/5/2005,92,73,0
10/6/2005,92,71,0
10/7/2005,76,61,0
10/8/2005,76,56,0
10/9/2005,82,51,0
10/10/2005,76,58,0.55
10/11/2005,85,66,T
10/12/2005,88,66,0
10/13/2005,86,65,0
10/14/2005,88,66,0
10/15/2005,85,63,0
10/16/2005,86,58,0
10/17/2005,88,58,0
10/18/2005,89,61,0
10/19/2005,89,61,0
10/20/2005,89,61,0
10/21/2005,86,67,0
10/22/2005,80,55,0
10/23/2005,84,53,0
10/24/2005,68,46,0
10/25/2005,73,42,0
10/26/2005,75,41,0
10/27/2005,77,48,0
10/28/2005,74,45,0
10/29/2005,75,41,0
10/30/2005,79,52,0
10/31/2005,82,61,1.14
11/1/2005,72,50,0
11/2/2005,77,44,0
11/3/2005,80,46,0
11/4/2005,83,56,0
11/5/2005,87,63,0
11/6/2005,87,69,0
11/7/2005,85,71,0
11/8/2005,84,72,0.55
11/9/2005,86,67,0
11/10/2005,82,68,0
11/11/2005,80,65,0
11/12/2005,84,67,0.01
11/13/2005,86,67,0
11/14/2005,85,64,0
11/15/2005,87,63,0.98
11/16/2005,58,44,0
11/17/2005,60,36,0
11/18/2005,58,43,T
11/19/2005,62,44,0.02
11/20/2005,68,52,0
11/21/2005,65,41,0
11/22/2005,74,39,0
11/23/2005,82,44,0
11/24/2005,77,54,0
11/25/2005,70,56,0
11/26/2005,65,58,1.1
11/27/2005,82,62,0.06
11/28/2005,66,52,0
11/29/2005,62,41,0
11/30/2005,66,36,0
12/1/2005,70,51,0
12/2/2005,67,42,0
12/3/2005,83,67,0
12/4/2005,78,49,0.4
12/5/2005,58,40,0
12/6/2005,58,32,0
12/7/2005,53,37,0.01
12/8/2005,37,31,T
12/9/2005,48,33,0
12/10/2005,55,39,T
12/11/2005,65,37,0
12/12/2005,69,41,0
12/13/2005,70,39,0
12/14/2005,69,47,5.64
12/15/2005,60,41,0
12/16/2005,50,38,0.01
12/17/2005,48,39,0.31
12/18/2005,55,37,0
12/19/2005,58,36,0
12/20/2005,48,38,T
12/21/2005,57,38,0
12/22/2005,59,34,0
12/23/2005,74,39,0
12/24/2005,71,54,0
12/25/2005,69,44,0
